chain_id,seq_idx,id,user_id,parent_id,thread_id,chain_len,user_a,user_b
171,0,788,594,785,733,3,594,283
171,1,790,283,788,733,3,594,283
171,2,850,594,790,733,3,594,283
172,0,850,594,790,733,3,594,679
172,1,853,679,850,733,3,594,679
172,2,892,594,853,733,3,594,679
173,0,892,594,853,733,3,594,480
173,1,895,480,892,733,3,594,480
173,2,917,594,895,733,3,594,480
174,0,733,531,-1,733,3,531,636
174,1,735,636,733,733,3,531,636
174,2,777,531,735,733,3,531,636
175,0,788,594,785,733,3,594,283
175,1,790,283,788,733,3,594,283
175,2,850,594,790,733,3,594,283
176,0,850,594,790,733,3,594,679
176,1,853,679,850,733,3,594,679
176,2,892,594,853,733,3,594,679
177,0,892,594,853,733,3,594,480
177,1,895,480,892,733,3,594,480
177,2,917,594,895,733,3,594,480
178,0,733,531,-1,733,3,531,636
178,1,735,636,733,733,3,531,636
178,2,777,531,735,733,3,531,636
179,0,799,466,795,793,3,466,15
179,1,802,15,799,793,3,466,15
179,2,949,466,802,793,3,466,15
180,0,1146,45,949,793,3,45,420
180,1,1149,420,1146,793,3,45,420
180,2,1257,45,1149,793,3,45,420
181,0,799,466,795,793,3,466,15
181,1,802,15,799,793,3,466,15
181,2,949,466,802,793,3,466,15
182,0,799,466,795,793,3,466,15
182,1,802,15,799,793,3,466,15
182,2,949,466,802,793,3,466,15
183,0,799,466,795,793,3,466,15
183,1,802,15,799,793,3,466,15
183,2,949,466,802,793,3,466,15
184,0,799,466,795,793,3,466,15
184,1,802,15,799,793,3,466,15
184,2,949,466,802,793,3,466,15
185,0,1149,420,1146,793,3,420,521
185,1,1152,521,1149,793,3,420,521
185,2,1161,420,1152,793,3,420,521
186,0,799,466,795,793,3,466,15
186,1,802,15,799,793,3,466,15
186,2,949,466,802,793,3,466,15
187,0,799,466,795,793,3,466,15
187,1,802,15,799,793,3,466,15
187,2,949,466,802,793,3,466,15
188,0,807,556,804,804,3,556,768
188,1,835,768,807,804,3,556,768
188,2,936,556,835,804,3,556,768
189,0,1058,176,1056,826,4,176,805
189,1,1063,805,1058,826,4,176,805
189,2,1134,176,1063,826,4,176,805
189,3,1207,805,1134,826,4,176,805
190,0,1330,831,1254,826,3,831,989
190,1,1332,989,1330,826,3,831,989
190,2,1496,831,1332,826,3,831,989
191,0,1058,176,1056,826,4,176,805
191,1,1063,805,1058,826,4,176,805
191,2,1134,176,1063,826,4,176,805
191,3,1207,805,1134,826,4,176,805
192,0,1058,176,1056,826,3,176,805
192,1,1063,805,1058,826,3,176,805
192,2,1134,176,1063,826,3,176,805
193,0,1134,176,1063,826,3,176,66
193,1,1138,66,1134,826,3,176,66
193,2,1296,176,1138,826,3,176,66
194,0,1058,176,1056,826,3,176,805
194,1,1063,805,1058,826,3,176,805
194,2,1134,176,1063,826,3,176,805
195,0,1007,846,837,830,3,846,816
195,1,1018,816,1007,830,3,846,816
195,2,1137,846,1018,830,3,846,816
196,0,1137,846,1018,830,3,846,1084
196,1,1367,1084,1137,830,3,846,1084
196,2,1526,846,1367,830,3,846,1084
197,0,1007,846,837,830,3,846,816
197,1,1018,816,1007,830,3,846,816
197,2,1137,846,1018,830,3,846,816
198,0,1371,488,1367,830,3,488,582
198,1,1372,582,1371,830,3,488,582
198,2,1682,488,1372,830,3,488,582
199,0,846,599,843,843,4,599,339
199,1,848,339,846,843,4,599,339
199,2,995,599,848,843,4,599,339
199,3,1041,339,995,843,4,599,339
200,0,846,599,843,843,4,599,339
200,1,848,339,846,843,4,599,339
200,2,995,599,848,843,4,599,339
200,3,1041,339,995,843,4,599,339
201,0,1277,199,1112,843,3,199,554
201,1,1281,554,1277,843,3,199,554
201,2,1310,199,1281,843,3,199,554
202,0,846,599,843,843,4,599,339
202,1,848,339,846,843,4,599,339
202,2,995,599,848,843,4,599,339
202,3,1041,339,995,843,4,599,339
203,0,846,599,843,843,4,599,339
203,1,848,339,846,843,4,599,339
203,2,995,599,848,843,4,599,339
203,3,1041,339,995,843,4,599,339
204,0,846,599,843,843,4,599,339
204,1,848,339,846,843,4,599,339
204,2,995,599,848,843,4,599,339
204,3,1041,339,995,843,4,599,339
205,0,846,599,843,843,4,599,339
205,1,848,339,846,843,4,599,339
205,2,995,599,848,843,4,599,339
205,3,1041,339,995,843,4,599,339
206,0,846,599,843,843,4,599,339
206,1,848,339,846,843,4,599,339
206,2,995,599,848,843,4,599,339
206,3,1041,339,995,843,4,599,339
207,0,846,599,843,843,4,599,339
207,1,848,339,846,843,4,599,339
207,2,995,599,848,843,4,599,339
207,3,1041,339,995,843,4,599,339
208,0,846,599,843,843,3,599,339
208,1,848,339,846,843,3,599,339
208,2,995,599,848,843,3,599,339
209,0,846,599,843,843,3,599,339
209,1,848,339,846,843,3,599,339
209,2,995,599,848,843,3,599,339
210,0,846,599,843,843,3,599,339
210,1,848,339,846,843,3,599,339
210,2,995,599,848,843,3,599,339
211,0,846,599,843,843,3,599,339
211,1,848,339,846,843,3,599,339
211,2,995,599,848,843,3,599,339
212,0,846,599,843,843,3,599,339
212,1,848,339,846,843,3,599,339
212,2,995,599,848,843,3,599,339
213,0,846,599,843,843,3,599,339
213,1,848,339,846,843,3,599,339
213,2,995,599,848,843,3,599,339
214,0,1428,1082,1379,843,3,1082,497
214,1,1434,497,1428,843,3,1082,497
214,2,1705,1082,1434,843,3,1082,497
215,0,846,599,843,843,3,599,339
215,1,848,339,846,843,3,599,339
215,2,995,599,848,843,3,599,339
216,0,1428,1082,1379,843,3,1082,497
216,1,1433,497,1428,843,3,1082,497
216,2,1707,1082,1433,843,3,1082,497
217,0,846,599,843,843,3,599,339
217,1,848,339,846,843,3,599,339
217,2,995,599,848,843,3,599,339
218,0,846,599,843,843,3,599,339
218,1,848,339,846,843,3,599,339
218,2,995,599,848,843,3,599,339
219,0,846,599,843,843,3,599,339
219,1,848,339,846,843,3,599,339
219,2,995,599,848,843,3,599,339
220,0,846,599,843,843,3,599,339
220,1,848,339,846,843,3,599,339
220,2,995,599,848,843,3,599,339
221,0,1231,224,1230,843,3,224,731
221,1,1232,731,1231,843,3,224,731
221,2,1421,224,1232,843,3,224,731
222,0,846,599,843,843,3,599,339
222,1,848,339,846,843,3,599,339
222,2,995,599,848,843,3,599,339
223,0,1231,224,1230,843,3,224,731
223,1,1232,731,1231,843,3,224,731
223,2,1421,224,1232,843,3,224,731
224,0,846,599,843,843,3,599,339
224,1,848,339,846,843,3,599,339
224,2,995,599,848,843,3,599,339
225,0,1231,224,1230,843,3,224,731
225,1,1232,731,1231,843,3,224,731
225,2,1421,224,1232,843,3,224,731
226,0,846,599,843,843,3,599,339
226,1,848,339,846,843,3,599,339
226,2,995,599,848,843,3,599,339
227,0,1231,224,1230,843,3,224,731
227,1,1232,731,1231,843,3,224,731
227,2,1421,224,1232,843,3,224,731
228,0,846,599,843,843,3,599,339
228,1,848,339,846,843,3,599,339
228,2,995,599,848,843,3,599,339
229,0,1231,224,1230,843,3,224,731
229,1,1232,731,1231,843,3,224,731
229,2,1421,224,1232,843,3,224,731
230,0,1459,814,1421,843,3,814,809
230,1,1460,809,1459,843,3,814,809
230,2,1541,814,1460,843,3,814,809
231,0,846,599,843,843,3,599,339
231,1,848,339,846,843,3,599,339
231,2,995,599,848,843,3,599,339
232,0,1231,224,1230,843,3,224,731
232,1,1232,731,1231,843,3,224,731
232,2,1421,224,1232,843,3,224,731
